path,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
"[0, 1]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 4, 5, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 3]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 5, 4]",1.9875823398385605e-228,6.794122214787073e-227,2.3817225259073124e-227,9.737542707646098e-226,2.982191969455342e-224,5.384368796228449e-228,3.388140041723612e-222,4.938024608599614e-228,3.924711974819943e-226,1.9631029591946023e-225
"[0, 2, 3, 4]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 4, 5]",7.558362682155076e-125,2.328718708682916e-126,1.2866130795986387e-126,3.7894982174757124e-127,4.720021604686479e-129,8.761688241759828e-126,2.0990202984441667e-130,9.691748487603859e-126,6.24794978341846e-127,1.7993031128003545e-127
"[0, 1, 5, 7, 6]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 4, 5, 7, 6]",7.558362682158512e-125,2.328718708682916e-126,1.286613079598931e-126,3.789498217476574e-127,4.720021604686479e-129,8.761688241757836e-126,2.0990202984441667e-130,9.691748487603859e-126,6.2479497834170395e-127,1.7993031127999455e-127
"[0, 1, 5, 7]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 4, 5, 7]",7.558362682156794e-125,2.328718708682916e-126,1.2866130795992236e-126,3.789498217477435e-127,4.720021604686479e-129,8.761688241757836e-126,2.0990202984441667e-130,9.691748487603859e-126,6.2479497834170395e-127,1.7993031128007635e-127
"[0, 1, 5, 4, 8]",1.9875823398385605e-228,6.794122214785528e-227,2.3817225259073124e-227,9.73754270764499e-226,2.9821919694556808e-224,5.384368796228449e-228,3.388140041723997e-222,4.9380246085990524e-228,3.924711974819051e-226,1.9631029591943792e-225
"[0, 2, 3, 4, 8]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
