link,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
"(0, 1, '0')",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"(0, 2, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(1, 0, '0')",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"(1, 5, '0')",5.18,5.16,5.14,5.13,5.09,5.17,5.06,5.15,5.14,5.14
"(2, 0, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(2, 3, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(2, 11, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(3, 2, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(3, 4, '0')",2.01,2.02,2.01,2.02,2.02,2.02,2.02,2.01,2.02,2.01
"(3, 10, '0')",6.17,6.23,6.03,6.08,6.18,6.02,6.12,6.03,6.08,6.07
"(4, 3, '0')",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(4, 5, '0')",4.0,4.01,4.01,4.0,4.0,4.01,4.0,4.0,4.01,4.02
"(4, 8, '0')",6.57,6.7,6.21,6.35,6.82,6.44,6.33,5.98,6.31,6.11
"(5, 1, '0')",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.01
"(5, 4, '0')",4.05,4.05,4.07,4.04,4.05,4.06,4.04,4.07,4.04,4.03
"(5, 7, '0')",2.01,2.01,2.01,2.01,2.01,2.03,2.01,2.0,2.01,2.01
"(6, 7, '0')",3.01,3.0,3.0,3.01,3.01,3.0,3.0,3.0,3.0,3.0
"(6, 17, '0')",2.0,2.0,2.0,2.0,2.01,2.0,2.01,2.0,2.0,2.0
"(7, 5, '0')",2.01,2.0,2.0,2.01,2.01,2.01,2.0,2.0,2.01,2.01
"(7, 6, '0')",3.0,3.0,3.01,3.01,3.01,3.01,3.01,3.0,3.0,3.01
"(7, 8, '0')",10.16,10.1,10.04,10.1,10.07,10.04,10.08,10.11,10.08,10.15
"(7, 15, '0')",10.06,10.74,11.05,11.02,10.65,10.82,10.71,9.77,10.45,10.23
"(8, 4, '0')",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"(8, 7, '0')",10.28,10.26,10.48,10.25,10.25,10.35,10.33,10.51,10.28,10.4
"(8, 9, '0')",3.98,4.1,3.76,3.84,4.15,3.88,3.96,3.63,3.88,3.85
"(9, 8, '0')",3.01,3.01,3.02,3.01,3.01,3.01,3.01,3.01,3.01,3.01
"(9, 10, '0')",5.52,5.53,5.64,5.36,5.42,5.43,5.64,5.43,5.61,5.75
"(9, 14, '0')",6.08,6.11,6.07,6.1,6.13,6.07,6.1,6.06,6.06,6.07
"(9, 15, '0')",12.63,14.65,12.86,12.78,14.4,12.88,14.38,12.96,13.19,13.52
"(9, 16, '0')",17.6,17.97,18.17,16.29,18.32,16.91,18.38,17.86,17.0,18.23
"(10, 3, '0')",9.32,8.74,8.61,8.29,9.45,9.22,9.15,8.44,10.03,8.16
"(10, 9, '0')",18.12,18.0,17.64,17.0,18.57,16.63,18.07,18.83,16.43,19.55
"(10, 11, '0')",7.25,7.14,7.69,7.12,7.08,7.13,8.21,6.98,7.36,7.73
"(10, 13, '0')",18.13,19.62,12.81,20.07,22.61,12.96,20.01,15.74,20.26,20.31
"(11, 2, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(11, 10, '0')",10.34,10.62,9.93,11.61,11.07,10.28,10.18,11.68,10.88,11.54
